model,concurrent_agents,real_pi_physical_footprint_mib,pies_total_physical_footprint_mib,pies_daemon_physical_footprint_mib,pies_client_physical_footprint_mib,pies_tool_subprocess_footprint_mib,memory_saved_mib,memory_saved_percent,real_pi_resident_rss_mib,pies_total_resident_rss_mib
openai/gpt-5.6-luna,2,361.1,242.4,209.8,30.3,2.3,118.7,32.9,454.0,360.3
openai/gpt-5.6-luna,4,730.3,183.5,118.6,60.3,4.6,546.8,74.9,1058.3,397.3
openai/gpt-5.6-luna,6,1101.2,228.3,131.1,90.2,6.9,872.9,79.3,1496.8,511.3
openai/gpt-5.6-luna,8,1471.0,274.2,144.7,120.2,9.3,1196.8,81.4,1805.8,626.5
openai/gpt-5.6-luna,10,1844.2,320.7,159.0,150.1,11.6,1523.5,82.6,1838.0,743.5
openai/gpt-5.6-luna,12,2213.4,356.7,162.8,180.0,13.9,1856.7,83.9,1668.8,850.2
openai/gpt-5.6-luna,14,2585.6,363.1,136.9,210.0,16.2,2222.4,86.0,1646.1,928.9
openai/gpt-5.6-luna,16,2952.9,405.6,147.2,239.9,18.5,2547.3,86.3,1821.5,1041.5
openai/gpt-5.6-luna,18,3321.9,452.9,162.2,269.9,20.8,2869.0,86.4,1848.9,1138.0
openai/gpt-5.6-luna,20,3690.5,506.6,182.9,300.6,23.1,3183.9,86.3,2121.9,1176.4
